dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.653046,19.471678,20.982536,12.660055,-23.221533,-1634.811736,0.465835
0.020000,16.909112,19.589268,21.264312,14.088777,71.436089,4732.881075,0.394675
0.020000,17.176766,19.689262,21.550035,14.286140,9.868170,-3078.395934,0.320075
0.020000,17.453457,19.769374,21.838090,14.402779,5.831914,-201.812812,0.243443
0.020000,17.735835,19.828068,22.126503,14.420654,0.893785,-246.906425,0.166500
0.020000,18.020131,19.864845,22.413169,14.333263,-4.369553,-263.166905,0.091079
0.020000,18.302659,19.880329,22.696120,14.147557,-9.285299,-245.787305,0.018894
0.020000,18.579475,19.876149,22.972968,13.842390,-15.258351,-298.652606,6.234710
0.020000,18.846680,19.854870,23.241019,13.402566,-21.991234,-336.644174,6.173436
0.020000,19.102135,19.819539,23.498905,12.894310,-25.412790,-171.077799,6.118816
0.020000,19.345428,19.773063,23.746597,12.384620,-25.484502,-3.585580,6.070810
0.020000,19.576816,19.718008,23.984445,11.892373,-24.612326,43.608820,6.029111
0.020000,19.796896,19.656544,24.212947,11.425108,-23.363239,62.454341,5.993284
0.020000,20.006442,19.590470,24.432663,10.985795,-21.965684,69.877740,5.962842
0.020000,20.206281,19.521255,24.644150,10.574343,-20.572580,69.655192,5.937300
0.020000,20.397232,19.450094,24.847929,10.188959,-19.269190,65.169524,5.916203
0.020000,20.580059,19.377964,25.044470,9.827050,-18.095444,58.687285,5.899143
0.020000,20.755453,19.305665,25.234182,9.485588,-17.073135,51.115450,5.885763
0.020000,20.924032,19.233860,25.417416,9.161693,-16.194717,43.920893,5.875759
0.020000,21.086331,19.163108,25.594466,8.852534,-15.457955,36.838102,5.868873
0.020000,21.242814,19.093878,25.765579,8.555614,-14.845999,30.597786,5.864892
0.020000,21.393872,19.026576,25.930952,8.268665,-14.347481,24.925896,5.863643
0.020000,21.539839,18.961551,26.090747,7.989731,-13.946674,20.040362,5.864987
0.020000,21.680986,18.899111,26.245088,7.717092,-13.631957,15.735883,5.868813
