dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.909349,7.686466,9.605146,10.638886,-3.383170,-165.624508,1.378499
0.020000,10.948639,7.893591,9.815965,10.540945,-4.897009,-75.691936,1.387908
0.020000,10.985814,8.099203,10.024911,10.447298,-4.682388,10.731031,1.395687
0.020000,11.021242,8.303290,10.232050,10.356973,-4.516220,8.308419,1.401896
0.020000,11.055269,8.505842,10.437440,10.269496,-4.373847,7.118658,1.406583
0.020000,11.088220,8.706840,10.641121,10.184051,-4.272280,5.078333,1.409783
0.020000,11.120407,8.906260,10.843122,10.100037,-4.200710,3.578489,1.411523
0.020000,11.152128,9.104069,11.043458,10.016793,-4.162153,1.927851,1.411815
0.020000,11.183670,9.300222,11.242131,9.933678,-4.155775,0.318942,1.410661
0.020000,11.215311,9.494666,11.439132,9.850046,-4.181578,-1.290192,1.408053
0.020000,11.247325,9.687329,11.634437,9.765243,-4.240174,-2.929758,1.403971
0.020000,11.279976,9.878129,11.828010,9.678667,-4.328818,-4.432198,1.398382
0.020000,11.313528,10.066962,12.019801,9.589537,-4.456468,-6.382502,1.391244
0.020000,11.348240,10.253710,12.209748,9.497330,-4.610362,-7.694708,1.382502
0.020000,11.384369,10.438229,12.397771,9.401140,-4.809491,-9.956437,1.372088
0.020000,11.422166,10.620358,12.583780,9.300474,-5.033314,-11.191183,1.359923
0.020000,11.461885,10.799905,12.767668,9.194404,-5.303472,-13.507914,1.345914
0.020000,11.503769,10.976656,12.949314,9.082286,-5.605902,-15.121469,1.329955
0.020000,11.548061,11.150367,13.128582,8.963434,-5.942623,-16.836081,1.311931
0.020000,11.594993,11.320766,13.305326,8.837195,-6.311954,-18.466528,1.291710
0.020000,11.644788,11.487551,13.479387,8.703015,-6.708980,-19.851277,1.269157
0.020000,11.697654,11.650395,13.650597,8.560511,-7.125234,-20.812719,1.244126
0.020000,11.753780,11.808945,13.818788,8.409563,-7.547389,-21.107778,1.216471
0.020000,11.813335,11.962834,13.983799,8.250553,-7.950478,-20.154427,1.186052
